Rank,Ticker,Sector,Price,Chg1D%,EdgeScore,Tier,WyckoffPhase,Setup,PricePosition,GEXScale,GEXClass,GammaFlip,PutWall,CallWall,IVRank,IVImplied,VolRatio,PutCall,Change%,EMA21,SMA50,SMA200,DaysToEarnings,Badge,Past5%,EMA9,Gap9%,SetupPass,WhyBullish,HistWin%,HistAvg%,HistExcess%,BacktestN
54,CEG,Independent Power Producers,263.88,0.16,8,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,262.5,255,270,6,39.8,1.02,1,0.01,271.88,271.37,292.33,43,DOWNTREND,1.676106808,266.59,-1.016542256,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
55,VST,Independent Power Producers,137.97,-1.74,8,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-4,Moderate Negative Gamma,135,125,145,3,40.6,0.98,0.19,-1.47,142.94,147.09,156.27,42,DOWNTREND,-1.723769499,142.03,-2.85855101,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
56,QBTS,Technology (Quantum Computing),16.81,-4.27,8,A - Strong Edge,Distribution,[UPTHRUST] (SOW),Bottom 33%,1,Neutral / Transition Zone,18,17,19,1,68.6,1.78,0.4,-3.47,17.51,18.33,21.28,42,NEUTRAL,3.31899201,17.23,-2.437608822,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200,54.38,1.57,1.05,2600
57,BLK,Asset Management,1060.89,-0.54,8,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,1050,1060,1040,,,,,,,,,,DOWNTREND,2.280089468,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
58,CMCSA,Media & Broadband Services,22.55,0.58,8,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,0,Neutral / Transition Zone,22.5,23,22,,,,,,,,,,DOWNTREND,-4.972608512,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
59,F,Automobile Manufacturers,12.95,-1.15,8,A - Strong Edge,Distribution,[SOW] (Selling on Supply),Bottom 33%,-1,Neutral / Transition Zone,13.25,13,13.5,,,,,,,,,,NEUTRAL,-3.068862275,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200,54.38,1.57,1.05,2600
60,LLY,Pharmaceuticals,1152.7,-1.52,8,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-3,Neutral / Transition Zone,1122.5,1100,1145,,,,,,,,,,DOWNTREND,1.273051546,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
61,SPGI,Financial Information & Analytics,406.5,1.01,8,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,402.5,400,405,,,,,,,,,,DOWNTREND,-0.063919756,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
62,V,Transaction Processing Services,361.52,-0.14,8,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-2,Neutral / Transition Zone,355,345,365,,,,,,,,,,DOWNTREND,-2.536866794,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
63,DCO,Technology (Quantum Computing),172.51,3.64,7,B - Edge,Mark-down,[DOWNTREND],Middle,0,Neutral / Transition Zone,147.5,145,150,64,49.7,1.01,0.05,3.64,172.1,179.85,143.09,42,DOWNTREND,0.577192164,167.97,2.702863607,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Dealer gamma <= 0 (short/neutral); +2 IV Rank >= 50 (premium rich); +1 DOWNTREND confluence badge,51.53,0.43,0.2,1898
64,IBM,Technology (IT Services/Hardware),232.76,0.6,7,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,2,Neutral / Transition Zone,232.5,230,235,64,47.3,0.83,0.24,0.58,235.85,232.19,259.62,27,NEUTRAL,-1.991662807,235.47,-1.15088971,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 IV Rank >= 50 (premium rich); +1 Below SMA200,51.53,0.43,0.2,1898
65,NFLX,Communication Services (Entertainment),71.36,-1.11,7,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,71,70,72,64,44,1.03,0.75,-1.12,76.61,75.72,85.3,26,NEUTRAL,-6.609082581,75.06,-4.929389821,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 IV Rank >= 50 (premium rich); +1 Below SMA200,51.53,0.43,0.2,1898
66,JPM,Diversified Banking & Capital Markets,337.53,-0.73,7,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,-7,Moderate Negative Gamma,337.5,335,340,47,26.5,1,0.43,-0.53,352.23,353.51,320.76,19,DOWNTREND,-3.264358592,349.53,-3.433181701,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 DOWNTREND confluence badge,51.53,0.43,0.2,1898
67,BAC,Diversified Banking,56,-0.36,7,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,-10,Extreme Negative Gamma,56.5,55,58,43,27.3,1.01,0.77,-0.27,60.19,61.91,55.26,20,[!] HIGH VOL RISK,-3.281519862,58.72,-4.632152589,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip,51.53,0.43,0.2,1898
68,C,Financials (Banking),131.96,-0.35,7,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,-2,Neutral / Transition Zone,128.5,122,135,43,33,0.91,0.87,-0.32,134.68,134.29,124.93,19,DOWNTREND,-0.767032636,134.2,-1.669150522,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 DOWNTREND confluence badge,51.53,0.43,0.2,1898
69,BA,Aerospace & Defense,199.93,1.12,7,B - Edge,Distribution,[UPTHRUST] (SOW),Bottom 33%,8,Extreme Positive Gamma,202.5,200,205,39,31.7,1.67,0.34,1.23,207.4,215.82,221.18,41,PINNED,-1.005149535,202.49,-1.264259963,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; -1 Extreme long gamma (GEX >= +6),51.53,0.43,0.2,1898
70,FOTO,Photonics ETF,17.89,-1.92,7,B - Edge,Mark-down,[DOWNTREND],Middle,0,Neutral / Transition Zone,18.5,17,20,38,57.3,0.6,0.41,-1.97,,21.82,,,DOWNTREND,4.254079254,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; +1 DOWNTREND confluence badge,51.53,0.43,0.2,1898
71,CIEN,Technology (Quantum Computing),355.91,-3.43,7,B - Edge,Mark-down,[DOWNTREND],Middle,-2,Neutral / Transition Zone,367.5,365,370,33,65.9,0.68,1.03,-3.39,358.26,382.06,384.6,77,DOWNTREND,4.525697504,351.76,1.179781669,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; +1 DOWNTREND confluence badge,51.53,0.43,0.2,1898
72,BMY,Pharmaceuticals,61.15,-1.77,7,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,63.5,62,65,29,26.9,1.55,0.59,-1.77,64.29,64.01,58.86,35,NEUTRAL,-3.852201258,63.41,-3.564106608,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume),51.53,0.43,0.2,1898
73,XLI,Industrials,170.1,-0.1,7,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,168.5,165,172,28,17.4,1.07,2.13,-0.1,,169.61,168.24,,DOWNTREND,0.859768752,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 DOWNTREND confluence badge,51.53,0.43,0.2,1898
74,FN,Technology (Quantum Computing),400.85,-0.73,7,B - Edge,Mark-down,[DOWNTREND],Middle,-2,Neutral / Transition Zone,425,400,450,19,60.9,0.68,2.11,-0.45,414.35,462.2,534.93,39,DOWNTREND,2.080574514,397.49,0.845304284,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; +1 DOWNTREND confluence badge,51.53,0.43,0.2,1898
75,OSCR,Healthcare (Insurance),30.53,-0.46,7,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,0,Neutral / Transition Zone,30.5,31,30,18,65.7,1.03,1.21,-0.43,31.63,30.75,21.32,42,DOWNTREND,-5.596784168,31.78,-3.933291378,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 DOWNTREND confluence badge,51.53,0.43,0.2,1898
76,CCJ,Uranium Mining & Nuclear Fuel,90.8,-4.01,7,B - Edge,Distribution,[UPTHRUST] (SOW),Bottom 33%,-2,Neutral / Transition Zone,90,80,100,9,44.8,0.84,2.72,-3.43,95.88,94.74,105.84,41,NEUTRAL,-0.110011001,94.18,-3.588872372,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Below SMA200,51.53,0.43,0.2,1898
77,GS,Investment Banking & Capital Markets,936.36,-1.38,7,B - Edge,Distribution,[UPTHRUST] (SOW),Bottom 33%,-10,Extreme Negative Gamma,935,920,950,,,,,,,,,,[!!] BEAR CONFIRM,-0.172711572,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Below SMA200,51.53,0.43,0.2,1898
78,ATEN,Information Technology,26.75,0.19,6,B - Edge,Mark-down,[DOWNTREND],Top 33%,0,Neutral / Transition Zone,27.5,25,30,57,48.9,0.64,,0.19,26.24,28.76,25.26,40,DOWNTREND,0.791258478,26.25,1.904761905,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +1 DOWNTREND confluence badge; -2 Top-33% of range,51.53,0.43,0.2,1898
79,CL,Household & Personal Products,85.93,-1.29,6,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,87,85,89,48,23.5,1.19,0.67,-1.29,88.53,90.86,88.08,36,NEUTRAL,-1.252585613,87.43,-1.715658241,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200,51.53,0.43,0.2,1898
80,UNH,Healthcare (Insurance),371.29,-0.45,6,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,-8,Extreme Negative Gamma,366.25,355,377.5,48,39.8,0.78,0.77,-0.63,385.37,403.39,354.59,19,[!] HIGH VOL RISK,-1.057933166,378.84,-1.992925773,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral),51.53,0.43,0.2,1898
81,HAL,Oil Field Services,33.01,0.49,6,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,34,33,35,47,38.2,0.53,0.16,0.49,34.84,34.36,35.25,26,NEUTRAL,-4.346566213,34.33,-3.845033498,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200,51.53,0.43,0.2,1898
82,SO,Utilities (Energy),83.47,-1.97,6,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,87.5,84,91,43,17.8,0.88,0.47,-1.97,87.71,91.71,92.29,35,NEUTRAL,-3.200742201,86.31,-3.290464604,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200,51.53,0.43,0.2,1898
83,SYK,Medical Devices / Orthopedics,273.4,-0.62,6,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,275,270,280,40,26.9,0.87,0.28,-0.61,293.86,319.28,333.93,35,NEUTRAL,-3.989324343,280.53,-2.541617652,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200,51.53,0.43,0.2,1898
84,GLW,Technology (Quantum Computing),154.44,-3.27,6,B - Edge,Mark-down,[DOWNTREND],Middle,-1,Neutral / Transition Zone,155,150,160,38,57,0.61,0.99,-3.17,153.83,154.35,147.44,33,DOWNTREND,7.078971088,153.85,0.383490413,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 DOWNTREND confluence badge,51.53,0.43,0.2,1898
